episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
211, -4481.55227637291, 2, 5.94501209200007, 247, 140647,                                             140647, 0.0, 3082.717529296875
212, -9880.593697786331, 2, 27.249169774000165, 1140, 141787,                                             141787, 0.0, 2136.322265625
213, -4520.315541028976, 2, 13.195558856999924, 544, 142331,                                             142331, 0.0, 2970.677978515625
214, -5238.120875835419, 2, 14.572216366999783, 592, 142923,                                             142923, 0.0, 2140.950439453125
215, -3252.234094619751, 2, 6.1464645400001245, 257, 143180,                                             143180, 0.0, 2247.0654296875
216, -5336.0845383405685, 2, 24.254900458000066, 1006, 144186,                                             144186, 0.0, 2179.411865234375
217, 952.1794223189354, 1, 11.995009280999966, 503, 144689,                                             144689, 0.0, 2522.835693359375
218, -4000.554682970047, 2, 5.7349516630001744, 236, 144925,                                             144925, 0.0, 2650.275146484375
219, -6843.958823442459, 2, 18.810712540999702, 783, 145708,                                             145708, 0.0, 2507.72802734375
220, -6056.916940689087, 3, 15.805539571000281, 657, 146365,                                             146365, 0.0, 2319.736572265625
221, -5742.3947632312775, 2, 18.801905022000028, 771, 147136,                                             147136, 0.0, 2238.976806640625
222, -5904.408961772919, 2, 15.185800192999977, 615, 147751,                                             147751, 0.0, 2180.407470703125
223, -5295.807163238525, 2, 15.798614522999742, 666, 148417,                                             148417, 0.0, 2186.32421875
224, -9404.424975275993, 2, 35.687353381999856, 1471, 149888,                                             149888, 0.0, 2175.718017578125
225, -4360.0383957624435, 3, 10.984357541000008, 453, 150341,                                             150341, 0.0, 2352.294921875
226, -7431.420601129532, 2, 15.608197194999775, 641, 150982,                                             150982, 0.0, 2104.576904296875
227, -6633.733406305313, 2, 20.814286100999652, 858, 151840,                                             151840, 0.0, 2152.459716796875
228, -3764.525530695915, 2, 10.980630295999617, 452, 152292,                                             152292, 0.0, 2584.71826171875
229, -6510.443506479263, 2, 18.79836578999948, 771, 153063,                                             153063, 0.0, 2185.609619140625
230, -3817.9391193389893, 2, 10.98326722100046, 444, 153507,                                             153507, 0.0, 2045.5386962890625
231, 966.4798553884029, 1, 16.5420410429997, 673, 154180,                                             154180, 0.0, 2170.6181640625
232, -3353.286876678467, 2, 2.936367495000013, 120, 154300,                                             154300, 0.0, 2218.28955078125
233, 183.84348234534264, 1, 22.626530167000055, 922, 155222,                                             155222, 0.0, 2112.977294921875
234, -7235.58142220974, 3, 28.681016837000243, 1182, 156404,                                             156404, 0.0, 2377.184326171875
235, -5887.586653590202, 2, 14.599209376000545, 596, 157000,                                             157000, 0.0, 2479.997802734375
236, -2382.9370698332787, 1, 28.48538928400012, 1182, 158182,                                             158182, 0.0, 2471.234375
237, -6617.538633108139, 2, 14.18490046199986, 577, 158759,                                             158759, 0.0, 2521.022705078125
238, 801.5149583518505, 1, 15.013308212000084, 617, 159376,                                             159376, 0.0, 2513.7412109375
239, -3654.2375195026398, 2, 4.322043500000291, 172, 159548,                                             159548, 0.0, 2140.65478515625
240, -4756.680357217789, 2, 17.419871119999698, 717, 160265,                                             160265, 0.0, 2511.203369140625
241, -3395.287741661072, 3, 10.34155228200052, 424, 160689,                                             160689, 0.0, 2239.576904296875
242, 531.7825844287872, 1, 9.982413817000634, 411, 161100,                                             161100, 0.0, 2459.633056640625
243, -3870.675967693329, 2, 4.540840181999556, 183, 161283,                                             161283, 0.0, 2683.841796875
244, -5196.109385967255, 2, 12.399327909000021, 514, 161797,                                             161797, 0.0, 2638.553955078125
245, -4554.323309659958, 2, 13.591957087000083, 563, 162360,                                             162360, 0.0, 2399.360595703125
246, -5845.150476574898, 2, 17.01267471400024, 703, 163063,                                             163063, 0.0, 2590.1474609375
